cityID,cityName,totalIncidents,incidentDates
SY070402,Darkosh,0,
SY070401,Badama,0,
SY070500,Ariha,0,
SY070302,Salqin,0,
SY070303,Kafr Takharim,0,
SY070403,Janudiyeh,0,
SY070300,Harim,0,
SY070501,Ehsem,0,
SY070400,Jisr-Ash-Shugur,0,
SY070502,Mhambal,0,
SY070305,Armanaz,0,
SY070001,Abul Thohur,0,
SY070200,Ma'arrat An Nu'man,0,
SY070003,Saraqab,0,
SY070304,Qourqeena,0,
SY070002,Bennsh,0,
SY070005,Maaret Tamsrin,0,
SY070004,Teftnaz,0,
SY070301,Dana,12,2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-08T06:33:29+00:00||2014-05-08T00:00:00||2014-05-08T00:00:00||2014-05-08T00:00:00||2014-04-22T18:40:43+00:00||2014-04-09T00:00:00||2014-04-09T00:00:00||2014-04-09T00:00:00||2014-04-09T00:00:00||2014-04-07T16:17:46+00:00
SY070203,Kafr Nobol,0,
SY070204,Tamanaah,0,
SY080200,Quamishli,0,
SY070202,Sanjar,0,
SY070205,Heish,0,
SY070201,Khan Shaykun,0,
SY080201,Tal Hmis,0,
SY070006,Sarmin,2,2014-05-10T00:59:29+00:00||2014-05-09T21:25:47+00:00
SY080202,Amuda,1,2014-04-27T10:33:28+00:00
SY080203,Qahtaniyyeh,0,
SY080301,Jawadiyah,0,
SY080401,Darbasiyah,0,
SY080300,Al-Malikeyyeh,0,
SY080000,Al-Hasakeh,0,
SY080001,Tal Tamer,0,
SY080003,Markada,0,
SY080004,Be'r Al-Hulo Al-Wardeyyeh,0,
SY080005,Areesheh,0,
SY110300,Al-Thawrah,0,
SY110302,Jurneyyeh,0,
SY110200,Tell Abiad,0,
SY080400,Ras Al Ain,0,
SY080002,Shadadah,0,
SY110202,Ein Issa,0,
SY110100,Ar-Raqqa,0,
SY080302,Ya'robiyah,0,
SY110201,Suluk,0,
SY110101,Sabka,0,
SY110103,Maadan,0,
SY080006,Hole,6,2014-05-10T12:28:29+00:00||2014-05-10T01:39:49+00:00||2014-05-09T09:00:00+00:00||2014-04-27T00:00:00||2014-04-16T06:21:00.000Z||2014-04-01T02:11:00.000Z
SY130301,Shaqa,0,
SY130302,Ariqa,0,
SY130303,Little Sura,0,
SY110301,Mansura,1,2014-04-21T16:59:00
SY110102,Karama,2,2014-05-10T15:10:45+00:00||2014-05-08T18:06:31+00:00
SY130200,Salkhad,0,
SY130201,Qarayya,0,
SY130202,Gharyeh,0,
SY130203,Thibeen,0,
SY130001,Mazra'a,0,
SY130002,Mashnaf,0,
SY140201,Al-Butayhah,0,
SY130204,Milh,1,2014-05-11T14:47:14+00:00
SY130000,As-Sweida,0,
SY140200,Fiq,0,
SY130300,Shahba,13,2014-05-11T21:32:48+00:00||2014-05-11T21:11:21+00:00||2014-05-11T21:10:59+00:00||2014-05-11T21:10:20+00:00||2014-05-11T19:37:57+00:00||2014-05-11T18:37:30+00:00||2014-05-11T18:37:03+00:00||2014-05-11T18:36:45+00:00||2014-05-11T18:36:19+00:00||2014-05-11T18:35:44+00:00||2014-05-09T14:40:02+00:00||2014-05-08T08:40:11+00:00||2014-04-30T10:10:35+00:00
SY140001,Khan Arnaba,0,
SY140002,Al-Khashniyyeh,0,
SY140003,Masaada,0,
SY060303,Kansaba,0,
SY060301,Salanfa,0,
SY060304,Mzair'a,0,
SY060302,Ein Et-teeneh,0,
SY060300,Al-Haffa,0,
SY060402,Fakhura,0,
SY060400,Al-Qardaha,0,
SY060403,Jobet Berghal,0,
SY060401,Harf Elmseitra,0,
SY060200,Jablah,0,
SY060202,Qteilbiyyeh,0,
SY060203,Ein Shaqaq,0,
SY060204,Dalyeh,0,
SY060201,Ein Elshaqiyeh,0,
SY060205,Beit Yashout,0,
SY060001,Bahlawaniyeh,0,
SY060002,Rabee'a,0,
SY060003,Ein El-Bayda,0,
SY060006,Hanadi,0,
SY060005,Kiseb,0,
SY060004,Qastal Maaf,0,
SY020401,Aghtrin,0,
SY020404,Nabul,0,
SY020405,Suran,1,2014-04-06T15:50:33+00:00
SY020200,Al Bab,0,
SY020203,Ar-Ra'ee,0,
SY020206,A'rima,0,
SY020205,Rasm Haram El-Imam,0,
SY020201,Tadaf,0,
SY020402,Tall Refaat,0,
SY020400,A'zaz,3,2014-05-06T07:14:35+00:00||2014-05-05T17:01:15+00:00||2014-05-05T16:47:32+00:00
SY020204,Eastern Kwaires,0,
SY020202,Dayr Hafir,0,
SY020700,As-Safira,0,
SY020702,Banan,1,2014-05-09T10:28:37+00:00
SY020002,Tall Ed-daman,0,
SY020701,Khanaser,0,
SY020703,Hajeb,0,
SY020004,Daret Azza,0,
SY020006,Hadher,0,
SY020000,Jebel Saman,0,
SY020800,Jarablus,2,2014-05-08T00:00:00||2014-05-08T00:00:00
SY020801,Ghandorah,0,
SY020301,Bulbul,0,
SY020303,Raju,0,
SY020005,Zarbah,0,
SY020306,Ma'btali,0,
SY070000,Idleb,41,2014-05-11T23:27:27+00:00||2014-05-11T15:17:02+00:00||2014-05-11T08:08:43+00:00||2014-05-11T07:19:38+00:00||2014-05-11T00:41:18+00:00||2014-05-10T16:42:41+00:00||2014-05-10T15:14:38+00:00||2014-05-10T03:00:00+00:00||2014-05-10T00:59:29+00:00||2014-05-10T00:05:00+00:00||2014-05-09T21:25:47+00:00||2014-05-09T20:18:59+00:00||2014-05-09T19:39:17+00:00||2014-05-09T19:20:37+00:00||2014-05-09T18:48:58+00:00||2014-05-09T14:58:47+00:00||2014-05-09T14:20:57+00:00||2014-05-09T12:26:50+00:00||2014-05-08T19:29:30+00:00||2014-05-07T19:47:48+00:00||2014-05-07T17:47:52+00:00||2014-05-07T14:39:53+00:00||2014-05-07T13:15:48+00:00||2014-05-07T12:24:02+00:00||2014-05-07T11:00:00+00:00||2014-05-06T19:17:43+00:00||2014-05-06T16:36:29+00:00||2014-05-05T20:53:12+00:00||2014-05-05T10:38:18+00:00||2014-05-04T17:49:07+00:00||2014-05-02T19:31:12+00:00||2014-05-02T17:17:00||2014-04-30T10:10:35+00:00||2014-04-23T08:44:00||2014-04-21T16:59:00||2014-04-21T09:57:00||2014-04-18T08:46:00||2014-04-17T11:08:00||2014-04-14T14:31:00||2014-04-14T08:57:00||2014-04-03T13:21:54+00:00
SY020305,Sheikh El-Hadid,0,
SY020302,Jandairis,0,
SY020304,Sharan,0,
SY020601,Lower Shyookh,0,
SY020403,Mare',15,2014-05-09T17:14:56+00:00||2014-05-09T16:26:31+00:00||2014-05-03T18:21:36+00:00||2014-05-02T22:00:00.000Z||2014-05-02T20:40:18+00:00||2014-05-01T22:05:00.000Z||2014-04-30T13:46:00.000Z||2014-04-27T17:30:00.000Z||2014-04-27T13:01:00.000Z||2014-04-27T01:09:30+00:00||2014-04-27T00:12:00.000Z||2014-04-26T09:03:00||2014-04-22T15:00:00.000Z||2014-04-16T10:10:00.000Z||2014-04-16T01:58:00.000Z
SY020600,Ain al Arab,0,
SY020003,Haritan,9,2014-05-11T08:37:31+00:00||2014-05-11T07:38:51+00:00||2014-05-11T06:30:00+00:00||2014-05-11T06:08:28+00:00||2014-05-11T06:07:39+00:00||2014-05-11T06:02:27+00:00||2014-05-11T06:00:01+00:00||2014-05-08T22:27:19+00:00||2014-05-08T20:24:34+00:00
SY020500,Menbij,0,
SY020501,Abu Qalqal,0,
SY020502,Al-Khafsa,0,
SY020503,Maskana,0,
SY050200,As-Suqaylabiyah,0,
SY020602,Sarin,4,2014-05-10T18:17:45+00:00||2014-05-08T08:33:54+00:00||2014-05-07T21:21:07+00:00||2014-04-13T21:41:04+00:00
SY050201,Tell Salhib,0,
SY020001,Atareb,15,2014-05-11T23:27:27+00:00||2014-05-11T15:17:02+00:00||2014-05-11T00:41:18+00:00||2014-05-10T15:14:38+00:00||2014-05-08T17:15:41+00:00||2014-05-02T19:31:12+00:00||2014-04-28T03:07:00.000Z||2014-04-27T12:10:33+00:00||2014-04-24T19:58:23+00:00||2014-04-24T16:20:04+00:00||2014-04-24T13:25:44+00:00||2014-04-24T12:43:17+00:00||2014-04-20T04:49:47+00:00||2014-04-08T14:44:51+00:00||2014-04-01T16:31:27+00:00
SY050203,Shat-ha,0,
SY050300,As-Salamiyeh,0,
SY050302,As-Saan,0,
SY020300,Afrin,8,2014-05-07T04:10:19+00:00||2014-05-07T03:10:14+00:00||2014-05-06T23:19:29+00:00||2014-05-06T22:11:08+00:00||2014-05-06T21:35:10+00:00||2014-05-06T15:34:31+00:00||2014-05-04T11:49:43+00:00||2014-04-25T17:52:54+00:00
SY050204,Madiq Castle,0,
SY050301,Eastern Bari,0,
SY050202,Ziyara,0,
SY050500,Muhradah,0,
SY050304,Oqeirbat,0,
SY050501,Kafr Zeita,1,2014-04-18T01:45:29+00:00
SY050101,Suran,1,2014-04-06T15:50:33+00:00
SY050102,Harbanifse,0,
SY050401,Jeb Ramleh,0,
SY050402,Oj,0,
SY050404,Wadi El-oyoun,0,
SY050502,Karnaz,1,2014-05-02T08:48:00
SY050403,Ein Halaqim,0,
SY040400,Ar-Rastan,0,
SY040600,Al Makhrim,0,
SY040601,Jeb Ej-Jarrah,0,
SY040300,Tall Kalakh,0,
SY040200,Al Quasir,0,
SY040301,Hadideh,0,
SY040500,Tadmor,0,
SY040501,Sokhneh,0,
SY140000,Quneitra,73,2014-05-11T18:56:04+00:00||2014-05-11T14:49:12+00:00||2014-05-11T09:25:09+00:00||2014-05-11T09:08:35+00:00||2014-05-11T08:29:05+00:00||2014-05-11T07:37:08+00:00||2014-05-11T07:19:58+00:00||2014-05-11T06:32:28+00:00||2014-05-11T06:12:55+00:00||2014-05-11T05:56:19+00:00||2014-05-11T04:00:00+00:00||2014-05-11T03:40:44+00:00||2014-05-10T22:09:12+00:00||2014-05-10T21:42:24+00:00||2014-05-10T19:56:48+00:00||2014-05-10T19:21:38+00:00||2014-05-10T16:57:51+00:00||2014-05-10T12:01:55+00:00||2014-05-10T07:51:05+00:00||2014-05-10T03:20:00+00:00||2014-05-10T03:10:00+00:00||2014-05-10T03:00:00+00:00||2014-05-10T02:50:01+00:00||2014-05-10T02:19:50+00:00||2014-05-10T02:02:36+00:00||2014-05-10T00:59:29+00:00||2014-05-09T23:34:11+00:00||2014-05-09T23:25:28+00:00||2014-05-09T23:24:53+00:00||2014-05-09T22:45:45+00:00||2014-05-09T21:25:47+00:00||2014-05-09T20:56:47+00:00||2014-05-09T15:37:09+00:00||2014-05-09T15:35:11+00:00||2014-05-09T14:58:28+00:00||2014-05-09T13:41:51+00:00||2014-05-09T13:40:25+00:00||2014-05-09T13:35:54+00:00||2014-05-09T13:34:07+00:00||2014-05-09T12:56:19+00:00||2014-05-09T12:23:58+00:00||2014-05-09T12:06:04+00:00||2014-05-09T11:45:47+00:00||2014-05-09T11:40:07+00:00||2014-05-09T11:17:06+00:00||2014-05-09T11:02:15+00:00||2014-05-09T10:58:51+00:00||2014-05-09T10:19:41+00:00||2014-05-09T08:41:14+00:00||2014-05-09T08:38:05+00:00||2014-05-09T08:17:31+00:00||2014-05-09T07:26:18+00:00||2014-05-09T07:23:25+00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-09T00:00:00||2014-05-08T17:18:02+00:00||2014-05-08T08:03:44+00:00||2014-05-08T07:58:59+00:00||2014-05-08T07:21:37+00:00||2014-05-08T05:14:11+00:00||2014-05-08T00:00:00||2014-05-08T00:00:00||2014-05-06T18:51:26+00:00||2014-05-06T07:40:00+00:00||2014-05-03T14:04:59+00:00||2014-05-01T10:17:01+00:00||2014-04-30T14:07:56+00:00||2014-04-25T11:00:21+00:00||2014-04-24T11:46:15+00:00||2014-04-23T21:37:06+00:00||2014-04-15T13:35:00||2014-04-08T07:26:09+00:00
SY050400,Masyaf,7,2014-05-10T10:02:24+00:00||2014-05-10T09:12:13+00:00||2014-05-07T17:20:15+00:00||2014-05-07T14:59:42+00:00||2014-05-07T11:08:29+00:00||2014-05-05T17:31:41+00:00||2014-05-04T13:18:23+00:00
SY040101,Taldu,0,
SY040401,Talbiseh,2,2014-05-04T17:49:07+00:00||2014-04-04T11:31:00
SY040303,Nasra,1,2014-05-09T22:45:45+00:00
SY040102,Kherbet Tin Noor,0,
SY040103,Ein Elniser,0,
SY040104,Farqalas,0,
SY040109,Sadad,0,
SY040107,Mahin,0,
SY040105,Raqama,0,
SY040106,Qaryatein,0,
SY040304,Hawash,3,2014-05-09T16:59:35+00:00||2014-05-09T11:02:15+00:00||2014-05-09T10:19:41+00:00
